Site_ID,Site_Name,Culture,Longitude,latitude
1,Huangzangsi,Microlithic,100.19,38.225
2,Juekao,Microlithic,95.95,33.76
3,Gaqiong,Microlithic,95.98,33.77
4,Xiqiongda,Microlithic,96.05,33.81
5,Guwoda,Microlithic,95.93,33.73
6,Xidatan No.2,Microlithic,94.154,35.695
7,Yangquxi,Microlithic,100.113,35.559
8,Canxiong gasuo,Microlithic,96.043,33.804
9,Ngoring Lake,Microlithic,97.68,35.04
10,North Ngoring Lake,Microlithic,97.41,35.25
11,Zhaling Lake No.1,Microlithic,97.684076,35.054665
12,Eling Lake No.2,Microlithic,97.645826,35.03042
13,Layihai,Microlithic,100.7,35.95
14,Yangjuantai,Microlithic,100.14,35.52
15,Yeniugou No.2,Microlithic,94.24,35.88
16,Xiaoshanbao,Microlithic,98.054186,35.894987
17,Laodaqiao,Microlithic,95.83,34.029997
18,Daiqu,Microlithic,96.476667,33.864722
19,Nankanyan,Microlithic,100.244444,35.678056
20,Donggi Cona Lakeshore,Microlithic,98.515,35.3575
21,Shalongka,Microlithic,102,36.01
22,Jiangxigou No.2,Microlithic,100.296389,36.590278
23,Xiadawu,Microlithic,99.26,35.01
24,Dongguotan,Microlithic,100.295377,35.765645
25,Shangshe,Microlithic,100.344167,36.594167
26,Baifosi,Microlithic,100.741083,36.925389
27,Tongxian No.4,Microlithic,100.758694,36.882056
28,Bangbu,Microlithic,97.179939,33.055556
29,Dedu,Microlithic,97.9121,36.6648
30,Liuge,Microlithic,95.3163,37.6065
31,No.151,Microlithic,100.4745,36.559972
32,UYT Sites,Microlithic,83.262,30.055
33,Yali,Microlithic,86.12,28.41
34,North Zhongba,Microlithic,84.036,29.782
35,Long,Microlithic,83.74,29.87
36,Gajialadi,Microlithic,83.75,29.87
37,Qiusang,Microlithic,90.969,29.973
