Site_ID,Culture,Longitude,latitude
1,Zongri,101.583932,36.000195
2,Zongri,101.533648,35.976414
3,Zongri,101.492859,36.00498
4,Zongri,101.535719,36.064357
5,Zongri,101.441289,36.002452
6,Zongri,101.444076,36.041518
7,Zongri,101.455141,36.065314
8,Zongri,101.354921,36.043384
9,Zongri,101.382044,36.044894
10,Zongri,101.400066,36.022604
11,Zongri,101.38984,36.003631
12,Zongri,101.384314,35.983405
13,Zongri,101.35734,35.995437
14,Zongri,101.513614,35.917027
15,Zongri,101.525634,35.902685
16,Zongri,101.523912,35.87109
17,Zongri,101.386845,35.739745
18,Zongri,100.889548,35.524444
19,Zongri,100.920685,35.51257
20,Zongri,100.17038,35.322916
21,Zongri,100.196574,35.293626
22,Zongri,100.300016,35.335638
23,Zongri,100.375366,36.303743
24,Zongri,100.613706,36.298534
25,Zongri,100.630591,36.262184
26,Zongri,100.613964,36.250591
27,Zongri,100.728535,36.196075
28,Zongri,100.686956,35.964662
29,Zongri,100.674889,35.952425
30,Zongri,100.819585,35.980582
31,Zongri,100.964074,35.913895
32,Zongri,101.303098,35.818753
33,Zongri,101.232242,36.137767
34,Zongri,101.212776,36.135932
35,Zongri,101.201202,36.101552
36,Zongri,101.264553,36.075292
37,Zongri,101.295075,36.082244
38,Zongri,101.290392,36.049408
39,Zongri,101.204978,36.052046
40,Zongri,100.102572,35.466882
41,Zongri,100.124779,35.438706
42,Zongri,100.155423,35.406011
43,Zongri,100.219772,35.750414
44,Zongri,100.234833,35.772475
45,Zongri,100.252157,35.787455
46,Zongri,100.274689,35.806925
47,Zongri,100.2416,35.751238
48,Zongri,100.856836,35.843249
49,Zongri,100.913948,35.837675
50,Zongri,100.971245,35.828364
51,Zongri,100.844598,35.939477
52,Zongri,100.87871,35.92201
53,Zongri,100.919222,35.917748
54,Zongri,100.352812,35.310407
55,Zongri,100.301412,36.577437
56,Zongri,100.772256,36.873277
57,Zongri,100.726421,36.944112
